City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
608,Kolaras,IN,83.66,clear sky,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
611,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
615,Kampot,KH,77.05,broken clouds,10.6167,104.1833,Two Moons Hotel
616,Puerto Maldonado,PE,79.75,overcast clouds,-12.6,-69.1833,Wasai Hotel
618,Pandan,PH,79.07,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
622,Meadow Lake,US,79.45,clear sky,34.8014,-106.5436,TumbleWeed RV Park
623,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
627,Winslow,US,78.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
632,Oriximina,BR,77.77,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
634,Kapoeta,SS,85.66,scattered clouds,4.7717,33.5903,Eastgate Hotel
635,Moerai,PF,81.73,light rain,-22.4333,-151.3333,Le Manotel
638,San Juan,AR,85.51,clear sky,-31.5375,-68.5364,Hotel Provincial
643,Safaga,EG,75.4,scattered clouds,26.7292,33.9365,Lamar Resort Abu Soma
648,Gamay,PH,78.31,moderate rain,12.3854,125.2979,Marcela's Bed &Breakfast
651,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
657,Coruripe,BR,79.34,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
660,Morondava,MG,80.56,broken clouds,-20.2833,44.2833,La Case Bambou
662,Dicabisagan,PH,75.06,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
663,Portel,BR,75.88,light rain,-1.9356,-50.8211,Kitnet do Marcos
667,Muisne,EC,79.02,overcast clouds,0.6,-80.0333,Quinta Samay
669,Seybaplaya,MX,81.86,clear sky,19.65,-90.6667,sala de fiesta san Rafael
680,Yenagoa,NG,76.96,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
695,Axim,GH,80.46,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
699,Yambio,SS,75.65,scattered clouds,4.5721,28.3955,Naivasha Hotel
704,Ukiah,US,75.16,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
705,Anori,BR,75.88,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
