City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Tasiilaq,GL,2022-04-03 01:17:23,65.6145,-37.6368,26.76,95,100,16.33
182,Wajima,JP,2022-04-03 01:17:23,37.4,136.9,50.68,61,20,11.5
183,Petukhovo,RU,2022-04-03 01:17:24,55.0692,67.9019,35.35,99,100,9.35
184,Mahebourg,MU,2022-04-03 01:17:24,-20.4081,57.7,76.24,100,75,17.27
185,Najran,SA,2022-04-03 01:17:21,17.4924,44.1277,61.45,21,0,1.19
186,Tchollire,CM,2022-04-03 01:17:25,8.4022,14.1698,77.11,14,83,2.66
187,Souillac,MU,2022-04-03 01:17:25,-20.5167,57.5167,75.58,100,75,17.27
188,Florence,IT,2022-04-03 01:13:19,43.7667,11.25,42.24,93,0,4.61
189,Xichang,CN,2022-04-03 01:17:25,27.8964,102.2634,50.85,74,55,3.49
190,Alyangula,AU,2022-04-03 01:17:26,-13.8483,136.4192,84.92,61,56,4.27
191,Honningsvag,NO,2022-04-03 01:17:26,70.9821,25.9704,29.95,80,100,18.41
192,Leningradskiy,RU,2022-04-03 01:17:26,69.3833,178.4167,-2.87,91,100,12.77
193,Mount Isa,AU,2022-04-03 01:17:27,-20.7333,139.5,91.17,16,5,10.36
194,Subtanjalla,PE,2022-04-03 01:17:27,-14.0189,-75.7581,72.54,61,100,4.54
195,East London,ZA,2022-04-03 01:16:40,-33.0153,27.9116,67.39,87,100,12.95
196,Samba,IN,2022-04-03 01:17:28,32.5667,75.1167,68.14,17,0,4.27
197,Zyryanka,RU,2022-04-03 01:17:28,65.75,150.85,-0.31,75,99,3.09
198,Maceio,BR,2022-04-03 01:13:42,-9.6658,-35.7353,74.64,88,20,2.3
199,Baker City,US,2022-04-03 01:14:57,44.7749,-117.8344,51.6,34,0,17.27
200,Kaohsiung,TW,2022-04-03 01:17:28,22.6163,120.3133,61.03,93,75,6.91
201,Saint-Paul,RE,2022-04-03 01:17:29,-21.0096,55.2707,77.09,79,100,4.9
202,Kununurra,AU,2022-04-03 01:17:29,-15.7667,128.7333,89.58,43,43,6.91
